query_id,filter_expr,chosen_strategy,chosen_index,actual_recall,latency_ms,fallback
q_00001,"age ∈ [20,60] AND gender = 'M'",covering search,attr = country,0.937,0.49,否
q_00002,"age ∈ [20,60] AND country = 'US'",upward search,attr = D → root,0.955,0.24,否
q_00003,city = 'Beijing',root search,root,0.95,0.23,否
q_00004,"age ∈ [20,60] AND country = 'US'",root search,root,0.962,0.75,否
q_00005,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.966,0.41,否
q_00006,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.933,1.19,否
q_00007,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.926,1.3,否
q_00008,department = 'R&D',covering search,attr = age,0.964,0.9,否
q_00009,"income ∈ [50k, 100k] AND hobby = 'Music'",brute-force fallback,N/A,0.935,3.17,是
q_00010,department = 'R&D',covering search,attr = income,0.955,1.12,否
q_00011,city = 'Beijing',root search,root,0.966,1.48,否
q_00012,department = 'R&D',upward search,attr = D → root,0.943,0.79,否
q_00013,city = 'Beijing',upward search,attr = B → root,0.941,1.07,否
q_00014,"age ∈ [20,60] AND country = 'US'",covering search,attr = country,0.924,1.03,否
q_00015,city = 'Beijing',covering search,attr = age,0.948,0.55,否
q_00016,"age ∈ [20,60] AND country = 'US'",brute-force fallback,N/A,0.968,4.74,是
q_00017,department = 'R&D',upward search,attr = D → root,0.934,0.24,否
q_00018,"age ∈ [20,60] AND attr = 'D'",root search,root,0.924,1.39,否
q_00019,"age ∈ [20,60] AND country = 'US'",covering search,attr = income,0.933,0.85,否
q_00020,"age ∈ [20,60] AND country = 'US'",upward search,attr = B → root,0.929,0.38,否
q_00021,rare_tag = 'X' AND attr = 'Z',upward search,attr = B → root,0.965,0.76,否
q_00022,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.98,0.38,否
q_00023,department = 'R&D',covering search,attr = age,0.972,0.4,否
q_00024,"age ∈ [20,60] AND country = 'US'",root search,root,0.945,0.28,否
q_00025,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.952,1.46,否
q_00026,"age ∈ [20,60] AND gender = 'M'",upward search,attr = D → root,0.961,0.9,否
q_00027,"age ∈ [20,60] AND country = 'US'",root search,root,0.94,0.58,否
q_00028,"age ∈ [20,60] AND gender = 'M'",root search,root,0.977,1.34,否
q_00029,rare_tag = 'X' AND attr = 'Z',root search,root,0.966,0.86,否
q_00030,"age ∈ [20,60] AND country = 'US'",root search,root,0.938,1.03,否
q_00031,city = 'Beijing',covering search,attr = income,0.966,0.9,否
q_00032,rare_tag = 'X' AND attr = 'Z',upward search,attr = D → root,0.956,0.84,否
q_00033,"age ∈ [20,60] AND attr = 'D'",root search,root,0.973,1.28,否
q_00034,"age ∈ [20,60] AND gender = 'M'",root search,root,0.934,0.94,否
